,Unnamed: 0,id,question,desired_answer,student_answer,score_me,score_other,score_avg,bert_similarity_score,elmo_similarity_score,gpt_similarity_score,gpt2_similarity_score,normalized_bert_similarity_score,normalized_elmo_similarity_score,normalized_gpt_similarity_score,normalized_gpt2_similarity_score
0,0.0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.,4.0,3.0,3.5,0.9723823070000001,0.29617989100000003,0.994956427,0.999945775,0.9707004966381496,0.3822948980396012,0.9949165838040327,0.9999457708598439
1,1.0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,5.0,5.0,5.0,0.9716012479999999,0.504172325,0.9935473020000001,0.999949599,0.96987187417514,0.564838684453299,0.9934963270045095,0.9999495951518117
2,2.0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,5.0,3.0,4.0,0.9860813620000001,0.786471367,0.999015482,0.999982503,0.9852337709426571,0.8125973891167557,0.9990077045090014,0.9999825016640792
3,3.0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",5.0,5.0,5.0,0.983489871,0.6177712679999999,0.992065537,0.999987911,0.9824844681943534,0.664538374432473,0.9920028563638311,0.9999879100769876
4,4.0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,3.0,3.0,3.0,0.977570355,0.45766988399999997,0.995158092,0.999979264,0.9762044766345035,0.5240259899991363,0.9951198419163193,0.9999792624167768
5,5.0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To find problem and errors in a program before it is finalized,2.0,2.0,2.0,0.947760522,0.096652053,0.9944987820000001,0.9999300529999999,0.9445793404509817,0.20718003283513461,0.9944553235020596,0.9999300476594467
6,6.0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. ",3.0,2.0,2.5,0.972208917,0.279286951,0.9956335999999999,0.999963253,0.9705165478598099,0.3674688720541588,0.9955991063323416,0.9999632501943142
7,7.0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,you can break the whole program into prototype programs to simulate parts of the final program,5.0,5.0,5.0,0.962785661,0.35032570399999996,0.990592191,0.999973837,0.9605194521265936,0.42981576951258954,0.9905178712315323,0.9999738350024175
8,8.0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,#NAME?,5.0,2.0,3.5,0.963970482,0.33994987600000004,0.996323246,0.9999851670000001,0.961776424129023,0.42070946264424813,0.996294200394802,0.9999851658674793
9,9.0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,Simulating the behavior of only a portion of the desired software product.,5.0,5.0,5.0,0.988627076,0.868911147,0.998604615,0.999951501,0.9879345090492508,0.8849503555343334,0.9985935917436685,0.9999514972970321
